"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"48","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1196,272223,1,434.467908
"49","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1026,249,0,0.397404
"50","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1128,395,0,0.63042
"51","All Fire","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",1197,746149,2.8,927.9108964
"52","All Fire","10820_12_15_16_17_23_24",0.0012436,"Mojave Mid-Elevation Mixed Desert Scrub",395,142,0,0.1765912
"53","All Fire","10820_14",0.0024776,"Mojave Mid-Elevation Mixed Desert Scrub",533,441,0,1.0926216
"54","All Fire","10820_4_13",0.0024768,"Mojave Mid-Elevation Mixed Desert Scrub",501,671,0,1.6619328
"55","All Fire","10860_25",0.019037,"Rocky Mountain Lower Montane-Foothill Shrubland",391,4,0,0.076148
"56","All Fire","10870_4_6_12_13_14_15_17_24_25",0.0030082,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",1198,148994,0.6,448.2037508
"57","All Fire","10870_4_6_12_13_14_15_17_24_25",0.0030082,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",503,373,0,1.1220586
"58","All Fire","10870_4_6_12_13_14_15_17_24_25",0.0030082,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",534,499,0,1.5010918
"59","All Fire","10870_4_6_12_13_14_15_17_24_25",0.0030082,"Sonora-Mojave Creosotebush-White Bursage Desert Scrub",1352,72,0,0.2165904
"60","All Fire","10900_14",0.0020288,"Sonoran Granite Outcrop Desert Scrub",536,1289,0,2.6151232
"61","All Fire","10910_13_14",0.0095236,"Sonoran Mid-Elevation Desert Scrub",537,24,0,0.2285664
"62","All Fire","10910_15",0.0028784,"Sonoran Mid-Elevation Desert Scrub",1199,2013930,7.5,5796.896112
"63","All Fire","10910_25",0.0027222,"Sonoran Mid-Elevation Desert Scrub",1354,450,0,1.22499
"64","All Fire","10930_13_15_16_23_24_28",0.0046186,"Southern Colorado Plateau Sand Shrubland",406,83484,0.3,385.5792024
"65","All Fire","10930_13_15_16_23_24_28",0.0046186,"Southern Colorado Plateau Sand Shrubland",506,3,0,0.0138558
"66","All Fire","10930_13_15_16_23_24_28",0.0046186,"Southern Colorado Plateau Sand Shrubland",1129,6,0,0.0277116
"67","All Fire","10950_14",0.1272314,"Apacherian-Chihuahuan Mesquite Upland Scrub",407,27,0,3.4352478
"68","All Fire","10950_15",0.1061212,"Apacherian-Chihuahuan Mesquite Upland Scrub",402,77810,0.3,8257.290572
"69","All Fire","10950_25",0.1220314,"Apacherian-Chihuahuan Mesquite Upland Scrub",392,49,0,5.9795386
"70","All Fire","11000_15",0.0031294,"Chihuahuan Mixed Desert and Thorn Scrub",1200,57956,0.2,181.3675064
"71","All Fire","11002_25",0.0011862,"Chihuahuan Mixed Desert and Thorn Scrub - Shrubland",1356,127,0,0.1506474
"72","All Fire","11010_25",0.0600128,"Madrean Oriental Chaparral",1358,0,0,0
"73","All Fire","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",1130,6,0,0.0928848
"74","All Fire","11020_13_15_16_23_24",0.0154808,"Colorado Plateau Pinyon-Juniper Shrubland",1201,4090,0,63.316472
"75","All Fire","11030_6_7_12_13_16_17_23",0.0196952,"Great Basin Semi-Desert Chaparral",508,12,0,0.2363424
"76","All Fire","11040_13_14_25",0.0129724,"Mogollon Chaparral",538,358,0,4.6441192
"77","All Fire","11040_13_14_25",0.0129724,"Mogollon Chaparral",1359,62,0,0.8042888
"78","All Fire","11040_15",0.013108,"Mogollon Chaparral",1202,4124347,15.4,54061.940476
"79","All Fire","11040_23_24",0.0237914,"Mogollon Chaparral",1032,4,0,0.0951656
"80","All Fire","11040_23_24",0.0237914,"Mogollon Chaparral",1131,189,0,4.4965746
"81","All Fire","11070_15",0.0260746,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1203,162637,0.6,4240.6947202
"82","All Fire","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1033,43,0,1.117312
"83","All Fire","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1132,13,0,0.337792
"84","All Fire","11070_25_28",0.026041,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",1360,2,0,0.052082
"85","All Fire","11080_4_5_13_14_15_24_25",0.0122214,"Sonora-Mojave Semi-Desert Chaparral",405,77234,0.3,943.9076076
"86","All Fire","11080_4_5_13_14_15_24_25",0.0122214,"Sonora-Mojave Semi-Desert Chaparral",539,31,0,0.3788634
"87","All Fire","11090_14",0.000937,"Sonoran Paloverde-Mixed Cacti Desert Scrub",540,166,0,0.155542
"88","All Fire","11090_15_25",0.00095,"Sonoran Paloverde-Mixed Cacti Desert Scrub",1204,454729,1.7,431.99255
"89","All Fire","11090_15_25",0.00095,"Sonoran Paloverde-Mixed Cacti Desert Scrub",1362,6,0,0.0057
"90","All Fire","11150_13",0.0053602,"Inter-Mountain Basins Juniper Savanna",513,0,0,0
"91","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",1205,156553,0.6,2413.5149798
"92","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",1133,75,0,1.156245
"93","All Fire","11160_15_25",0.0216964,"Madrean Juniper Savanna",1206,201487,0.8,4371.5425468
"94","All Fire","11160_15_25",0.0216964,"Madrean Juniper Savanna",1363,16,0,0.3471424
"95","All Fire","11160_24",0.021955,"Madrean Juniper Savanna",1134,17,0,0.373235
"96","All Fire","11170_13_15_28",0.0922292,"Southern Rocky Mountain Ponderosa Pine Savanna",1207,788875,2.9,72757.31015
"97","All Fire","11170_16_23_24",0.1244826,"Southern Rocky Mountain Ponderosa Pine Savanna",1135,781,0,97.2209106
"98","All Fire","11190_24_25",0.0376668,"Southern Rocky Mountain Juniper Woodland and Savanna",1364,1,0,0.0376668
"99","All Fire","11210_14",0.1285166,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",542,31,0,3.9840146
"100","All Fire","11210_15",0.1262176,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",1208,1226978,4.6,154866.2184128
"101","All Fire","11210_24",0.1238776,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",1137,125,0,15.4847
"102","All Fire","11210_25",0.0124522,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",1365,465,0,5.790273
"103","All Fire","11220_25",0.0154988,"Chihuahuan Gypsophilous Grassland and Steppe",1366,28,0,0.4339664
"104","All Fire","11250_6_12_13_15_16_17_18_23_24_25_28",0.0086132,"Inter-Mountain Basins Big Sagebrush Steppe",381,108494,0.4,934.4805208
"105","All Fire","11261_16_23_24",0.0203804,"Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush",399,70,0,1.426628
"106","All Fire","11261_16_23_24",0.0203804,"Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush",1037,24,0,0.4891296
"107","All Fire","11270_15",0.0084802,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1209,1771812,6.6,15025.3201224
"108","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1039,119,0,1.1226936
"109","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1139,508,0,4.7926752
"110","All Fire","11330_25",0.0011562,"Chihuahuan Sandy Plains Semi-Desert Grassland",1368,70,0,0.080934
"111","All Fire","11350_15_28",0.0400448,"Inter-Mountain Basins Semi-Desert Grassland",1210,394050,1.5,15779.65344
"112","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",1040,1,0,0.0399014
"113","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",1140,262,0,10.4541668
"114","All Fire","11350_25",0.0397266,"Inter-Mountain Basins Semi-Desert Grassland",1369,77,0,3.0589482
"115","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",1211,138484,0.5,13852.3883392
"116","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",1142,11,0,0.0524062
"117","All Fire","11540_13",0.0148028,"Inter-Mountain Basins Montane Riparian Systems",521,6,0,0.0888168
"118","All Fire","11550_13_14",0.04382,"North American Warm Desert Riparian Systems",545,11,0,0.48202
"119","All Fire","11550_15",0.013255,"North American Warm Desert Riparian Systems",1212,82070,0.3,1087.83785
"120","All Fire","11550_25",0.0044624,"North American Warm Desert Riparian Systems",1373,206,0,0.9192544
"121","All Fire","11552_13_14_15",0.001372,"North American Warm Desert Riparian Systems - Stringers",1213,157749,0.6,216.431628
"122","All Fire","11552_13_14_15",0.001372,"North American Warm Desert Riparian Systems - Stringers",523,45,0,0.06174
"123","All Fire","11552_13_14_15",0.001372,"North American Warm Desert Riparian Systems - Stringers",546,128,0,0.175616
"124","All Fire","11590_15",0.151441,"Rocky Mountain Montane Riparian Systems",1214,612146,2.3,92704.002386
"125","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",1043,64,0,1.0668928
"126","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",1143,192,0,3.2006784
"127","All Fire","11590_25",0.0162042,"Rocky Mountain Montane Riparian Systems",1374,42,0,0.6805764
"128","All Fire","11600_15_28",0.0163066,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",1215,40634,0.2,662.6023844
"129","All Fire","15030_25_27",0.0649492,"Chihuahuan Loamy Plains Desert Grassland",1375,8,0,0.5195936
"130","All Fire","15040_25_27",0.100304,"Chihuahuan-Sonoran Desert Bottomland and Swale Grassland",1376,30,0,3.00912
"131","All Transitions","10110_15",0.0266674,"Rocky Mountain Aspen Forest and Woodland",1181,1181,0,31.4941994
"132","All Transitions","10160_13_14",0.0093526,"Colorado Plateau Pinyon-Juniper Woodland",491,15,0,0.140289
"133","All Transitions","10160_15_28",0.0266456,"Colorado Plateau Pinyon-Juniper Woodland",1182,775206,2.9,20655.8289936
"134","All Transitions","10160_16_23_24_25",0.0246766,"Colorado Plateau Pinyon-Juniper Woodland",1010,140,0,3.454724
"135","All Transitions","10160_16_23_24_25",0.0246766,"Colorado Plateau Pinyon-Juniper Woodland",1114,406,0,10.0186996
"136","All Transitions","10190_13_14",0.0092714,"Great Basin Pinyon-Juniper Woodland",492,79,0,0.7324406
"137","All Transitions","10190_15",0.0092816,"Great Basin Pinyon-Juniper Woodland",1183,172529,0.6,1601.3451664
"138","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",1184,1641644,6.1,89066.4102336
"139","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",528,5,0,0.271272
"140","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",1115,28,0,1.5191232
"141","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",1340,256,0,13.8891264
"142","All Transitions","10240_14_15_24",0.053263,"Madrean Lower Montane Pine-Oak Forest and Woodland",1185,977293,3.7,52053.557059
"143","All Transitions","10240_14_15_24",0.053263,"Madrean Lower Montane Pine-Oak Forest and Woodland",1116,16,0,0.852208
"144","All Transitions","10240_25_27",0.1506332,"Madrean Lower Montane Pine-Oak Forest and Woodland",1341,23,0,3.4645636
"145","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",1186,1939647,7.3,52949.6475942
"146","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",530,1,0,0.0272986
"147","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",1117,28,0,0.7643608
"148","All Transitions","10250_14_15_24_25_26",0.0272986,"Madrean Pinyon-Juniper Woodland",1342,195,0,5.323227
"149","All Transitions","10260_15",0.1084506,"Madrean Upper Montane Conifer-Oak Forest and Woodland",1187,19806,0.1,2147.9725836
"150","All Transitions","10510_15_16_17_22_23_24_25",0.1043282,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1188,281455,1.1,29363.693531
"151","All Transitions","10510_15_16_17_22_23_24_25",0.1043282,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1118,9,0,0.9389538
"152","All Transitions","10510_15_16_17_22_23_24_25",0.1043282,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1343,0,0,0
"153","All Transitions","10520_15",0.0565604,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1189,228222,0.9,12908.3276088
"154","All Transitions","10520_16_23_24",0.0568552,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1119,11,0,0.6254072
"155","All Transitions","10540_13_14",0.0805374,"Southern Rocky Mountain Ponderosa Pine Woodland",495,0,0,0
"156","All Transitions","10540_15_25",0.1109472,"Southern Rocky Mountain Ponderosa Pine Woodland",1190,3432859,12.8,380866.0940448
"157","All Transitions","10540_15_25",0.1109472,"Southern Rocky Mountain Ponderosa Pine Woodland",1345,16,0,1.7751552
"158","All Transitions","10540_16_23_24",0.0693576,"Southern Rocky Mountain Ponderosa Pine Woodland",1120,932,0,64.6412832
"159","All Transitions","10550_15_28",0.016136,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1191,217663,0.8,3512.210168
"160","All Transitions","10560_15_28",0.0159924,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1192,4459,0,71.3101116
"161","All Transitions","10610_15_25",0.0826078,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1193,192844,0.7,15930.4185832
"162","All Transitions","10611_16_23_24",0.099704,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1123,1,0,0.099704
"163","All Transitions","10640_15_16_17_23_24_27_28",0.0654792,"Colorado Plateau Mixed Low Sagebrush Shrubland",403,85132,0.3,5574.3752544
"164","All Transitions","10640_15_16_17_23_24_27_28",0.0654792,"Colorado Plateau Mixed Low Sagebrush Shrubland",1022,6,0,0.3928752
"165","All Transitions","10640_15_16_17_23_24_27_28",0.0654792,"Colorado Plateau Mixed Low Sagebrush Shrubland",1124,35,0,2.291772
"166","All Transitions","10660_16_23_24",0.0099534,"Inter-Mountain Basins Mat Saltbush Shrubland",1125,5,0,0.049767
"167","All Transitions","10760_25",0.045341,"Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub",393,3,0,0.136023
"168","All Transitions","10770_15",0.0071574,"Chihuahuan Succulent Desert Scrub",1194,281812,1.1,2017.0412088
"169","All Transitions","10770_25_26",0.010736,"Chihuahuan Succulent Desert Scrub",1350,1004,0,10.778944
"170","All Transitions","10780_15",0.0034632,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",404,280649,1,971.9436168
"171","All Transitions","10780_16_23_24_25",0.0412126,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",1024,59,0,2.4315434
"172","All Transitions","10780_16_23_24_25",0.0412126,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",1126,21,0,0.8654646
"173","All Transitions","10803_6_12_15_16_17_18_23_24_25",0.012666,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2704,20048,0.1,253.927968
"174","All Transitions","10803_6_12_15_16_17_18_23_24_25",0.012666,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2714,32,0,0.405312
"175","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2705,1797198,6.7,25878.9323208
"176","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2713,257,0,3.7006972
"177","All Transitions","10804_6_12_15_16_17_18_23_24_25",0.0143996,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2715,208,0,2.9951168
